Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
86623936-8116-4546-af6f-7198af7ce8b4,"2020-05-15, 04:08:53 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,47.152.132.148
59a508da-5a84-4204-96a2-37906f1e8427,"2020-05-15, 04:07:50 PM",root,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,47.152.132.148
39f1bdfe-dc43-481c-887e-3ac62dc2d2d4,"2020-05-15, 04:07:37 PM",root,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,47.152.132.148
4d2299ed-1eae-4664-9ebc-f8d3f178118d,"2020-05-15, 04:05:52 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,47.152.132.148
c2913743-2f2b-4f7e-b801-974e9968539e,"2020-05-15, 04:05:52 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,47.152.132.148
21410779-dfe3-424b-b8d5-d2d8069c0c7b,"2020-05-15, 04:05:51 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,47.152.132.148
34cd614a-9b97-4389-80aa-d961409042ce,"2020-05-15, 04:05:51 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,47.152.132.148
44bf28af-5ad6-4458-afc2-9c2b4aee391d,"2020-05-15, 04:05:51 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::680046601166:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAZ4VPPUPHKM4GR457Q""}]",,us-east-1,,47.152.132.148
96114b3a-dc21-41e9-9d76-bfe22f3c6be3,"2020-05-15, 04:05:51 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,47.152.132.148
ba7f7d0a-5052-467c-a568-6c04e1f27c69,"2020-05-15, 04:05:51 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,47.152.132.148
f1106764-3c21-4cff-8193-d7249e6f5f0b,"2020-05-15, 04:05:51 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAZ4VPPUPHG7SOCDDVD""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::680046601166:user/Accountant""}]",,us-east-1,,47.152.132.148
2eeb1b94-a746-4cfe-bb28-8f21856d193e,"2020-05-15, 04:04:03 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,47.152.132.148
37ecb7a0-9222-4cad-93e1-718e333f9227,"2020-05-15, 04:04:03 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::680046601166:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAZ4VPPUPHOFCZSEBCM""}]",,us-east-1,,47.152.132.148
4ee0811b-bd4b-41fc-aef8-be5be6586f4d,"2020-05-15, 04:03:41 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,47.152.132.148
87c25126-e781-4af0-9284-1d8f36e5b7dd,"2020-05-15, 04:03:41 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAZ4VPPUPHG5MMUH3ES""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::680046601166:group/CloudTrailAdmins""}]",,us-east-1,,47.152.132.148
fd8dce00-b303-4e8b-91e5-3983ef925568,"2020-05-15, 04:03:41 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,47.152.132.148
